expression,reading,meaning,tags,JLPT Level
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3,3
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3,3
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,3
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3,3
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3,3
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3,3
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3,3
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3,3
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3,3
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3,3
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,3
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3,3
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3,3
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3,3
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3,3
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3,3
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3,3
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3,3
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3,3
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3,3
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3,3
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3,3
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3,3
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3,3
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,3
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3,3
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3,3
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3,3
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3,3
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3,3
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3,3
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3,3
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,3
小,しょう,small,JLPT JLPT_2 JLPT_3,3
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3,3
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3,3
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,3
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3,3
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,3
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3,3
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3,3
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3,3
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3,3
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3,3
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3,3
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3,3
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3,3
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,3
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,3
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3,3
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3,3
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3,3
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,3
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3,3
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3,3
商人,しょうにん,"trader, shopkeeper, merchant",JLPT JLPT_2 JLPT_3,3
承認,しょうにん,"recognition, approval",JLPT JLPT_2 JLPT_3,3
少年,しょうねん,"boys, juveniles",JLPT JLPT_2 JLPT_3,3
商売,しょうばい,"trade, business, commerce",JLPT JLPT_2 JLPT_3,3
消費,しょうひ,"consumption, expenditure",JLPT JLPT_2 JLPT_3,3
商品,しょうひん,"commodity, merchandise",JLPT JLPT_2 JLPT_3,3
賞品,しょうひん,"prize, trophy",JLPT JLPT_2 JLPT_3,3
消防,しょうぼう,"fire fighting, fire department",JLPT JLPT_2 JLPT_3,3
情報,じょうほう,"information, (military) intelligence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
証明,しょうめい,"proof, verification",JLPT JLPT_2 JLPT_3,3
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT JLPT_2 JLPT_3,3
女王,じょおう,queen,JLPT JLPT_2 JLPT_3,3
職,しょく,employment,JLPT JLPT_2 JLPT_3,3
職業,しょくぎょう,"occupation, business",JLPT JLPT_2 JLPT_3,3
食卓,しょくたく,dining table,JLPT JLPT_2 JLPT_3,3
食品,しょくひん,foodstuff,JLPT JLPT_2 JLPT_3,3
植物,しょくぶつ,"plant, vegetation",JLPT JLPT_2 JLPT_3,3
食物,しょくもつ,"food, foodstuff",JLPT JLPT_2 JLPT_3,3
食欲,しょくよく,appetite (for food),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,3
食料,しょくりょう,food,JLPT JLPT_2 JLPT_3,3
食糧,しょくりょう,"provisions, rations",JLPT JLPT_2 JLPT_3,3
書斎,しょさい,"study, den",JLPT JLPT_2 JLPT_3,3
女子,じょし,"woman, girl",JLPT JLPT_2 JLPT_3,3
助手,じょしゅ,"helper, assistant",JLPT JLPT_2 JLPT_3,3
徐々に,じょじょに,"slowly, little by little",JLPT JLPT_2 JLPT_3,3
署名,しょめい,signature,JLPT JLPT_2 JLPT_3,3
書物,しょもつ,books,JLPT JLPT_2 JLPT_3,3
女優,じょゆう,actress,JLPT JLPT_2 JLPT_3,3
処理,しょり,"processing, treatment, disposition",JLPT JLPT_2 JLPT_3,3
書類,しょるい,"documents, official papers",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,3
知らせ,しらせ,notice,JLPT JLPT_2 JLPT_3,3
尻,しり,"buttocks, bottom",JLPT JLPT_2 JLPT_3,3
知合い,しりあい,acquaintance,JLPT JLPT_2 JLPT_3,3
印,しるし,mark; symbol; evidence,JLPT JLPT_2 JLPT_3,3
城,しろ,castle,JLPT JLPT_2 JLPT_3,3
進学,しんがく,going on to university,JLPT JLPT_2 JLPT_3,3
神経,しんけい,"nerve, sensitivity",JLPT JLPT_2 JLPT_3,3
真剣,しんけん,"seriousness, earnestness",JLPT JLPT_2 JLPT_3,3
信仰,しんこう,"(religious) faith, belief",JLPT JLPT_2 JLPT_3,3
信号,しんごう,"traffic lights, signal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,3
人工,じんこう,"artificial, man made, human work,",JLPT JLPT_2 JLPT_3,3
深刻,しんこく,serious,JLPT JLPT_2 JLPT_3,3
診察,しんさつ,medical examination (of a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,3
人種,じんしゅ,race (of people),JLPT JLPT_2 JLPT_3,3
信じる,しんじる,to believe,JLPT JLPT_2 JLPT_3,3
人生,じんせい,"(human) life (e.g., conception to death)",JLPT JLPT_2 JLPT_3,3
親戚,しんせき,relative(s),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,3
新鮮,しんせん,fresh,JLPT JLPT_2 JLPT_3,3
心臓,しんぞう,heart,JLPT JLPT_2 JLPT_3,3
身体,しんたい,the body,JLPT JLPT_2 JLPT_3,3
身長,しんちょう,"height (of body), stature",JLPT JLPT_2 JLPT_3,3
慎重,しんちょう,"careful, prudent, cautious",JLPT JLPT_2 JLPT_3,3
審判,しんぱん,"umpire, referee, judgment",JLPT JLPT_2 JLPT_3,3
人物,じんぶつ,"character, personality, talented man",JLPT JLPT_2 JLPT_3,3
進歩,しんぽ,"improvement, progress, development",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
親友,しんゆう,"close friend, buddy",JLPT JLPT_2 JLPT_3,3
信用,しんよう,"confidence, dependence",JLPT JLPT_2 JLPT_3,3
信頼,しんらい,"reliance, trust, confidence",JLPT JLPT_2 JLPT_3,3
心理,しんり,mentality,JLPT JLPT_2 JLPT_3,3
人類,じんるい,"mankind, humanity",JLPT JLPT_2 JLPT_3,3
巣,す,"nest, breeding place",JLPT JLPT_2 JLPT_3,3
酢,す,vinegar,JLPT JLPT_2 JLPT_3,3
図,ず,"figure, drawing, illustration",JLPT JLPT_2 JLPT_3,3
水準,すいじゅん,"level, standard",JLPT JLPT_2 JLPT_3,3
推薦,すいせん,recommendation,JLPT JLPT_2 JLPT_3,3
スイッチ,スイッチ,switch,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,3
睡眠,すいみん,sleep,JLPT JLPT_2 JLPT_3,3
数,すう,"number, figure",JLPT JLPT_2 JLPT_3,3
数字,すうじ,"numeral, figure",JLPT JLPT_2 JLPT_3,3
スープ,スープ,(Western) soup,JLPT JLPT_2 JLPT_3,3
末,すえ,"the end of, powder",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,3
姿,すがた,"figure, shape, appearance",JLPT JLPT_2 JLPT_3,3
スキー,スキー,ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,3
救う,すくう,"to rescue from, to help out of",JLPT JLPT_2 JLPT_3,3
すくなくとも,すくなくとも,at least,JLPT JLPT_2 JLPT_3,3
優れる,すぐれる,"to surpass, to outstrip, to excel",JLPT JLPT_2 JLPT_3,3
スケート,スケート,"skate(s), skating",JLPT JLPT_2 JLPT_3,3
スケジュール,スケジュール,schedule,JLPT JLPT_2 JLPT_3,3
少しも,すこしも,"anything of, not one bit",JLPT JLPT_2 JLPT_3,3
過ごす,すごす,"to pass, to spend (time)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,3
筋,すじ,"muscle, string, line",JLPT JLPT_2 JLPT_3,3
進める,すすめる,"to advance, to promote, to hasten",JLPT JLPT_2 JLPT_3,3
勧める,すすめる,"to urge (someone) to do (something), to recommend",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
スター,スター,star,JLPT JLPT_2 JLPT_3,3
スタイル,スタイル,style,JLPT JLPT_2 JLPT_3,3
スタンド,スタンド,stand,JLPT JLPT_2 JLPT_3,3
頭痛,ずつう,headache,JLPT JLPT_2 JLPT_3,3
ずっと,ずっと,for a long time; all the time; consecutively,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,3
すっぱい,すっぱい,"sour, acid",JLPT JLPT_2 JLPT_3,3
すてき,すてき,"lovely, great",JLPT JLPT_2 JLPT_3,3
既に,すでに,already (same as もう),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
すなわち,すなわち,"that is, namely, e.g.",JLPT JLPT_2 JLPT_3,3
スピーチ,スピーチ,speech,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,3
全て,すべて,"all, the whole, entirely",JLPT JLPT_2 JLPT_3,3
済ませる,すませる,to be finished,JLPT JLPT_2 JLPT_3,3
角,すみ,corner,JLPT JLPT_2 JLPT_3,3
墨,すみ,ink,JLPT JLPT_2 JLPT_3,3
すみません (かん),すみません (かん),"sorry, excuse me",JLPT JLPT_2 JLPT_3,3
澄む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3,3
清む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3,3
刷る,する,to print,JLPT JLPT_2 JLPT_3,3
為る,する,"to do, to attempt",JLPT JLPT_2 JLPT_3,3
鋭い,するどい,"pointed, sharp",JLPT JLPT_2 JLPT_3,3
すれ違う,すれちがう,to pass by one another,JLPT JLPT_2 JLPT_3,3
ずれる,ずれる,"move, off the point",JLPT JLPT_2 JLPT_3,3
正,せい,"(logical) true, regular",JLPT JLPT_2 JLPT_3,3
生,せい,birth,JLPT JLPT_2 JLPT_3,3
性,せい,"sex, gender",JLPT JLPT_2 JLPT_3,3
姓,せい,"surname, family name",JLPT JLPT_2 JLPT_3,3
所為,せい,"cause, reason, fault",JLPT JLPT_2 JLPT_3,3
税,ぜい,tax,JLPT JLPT_2 JLPT_3,3
性格,せいかく,"character, personality",JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,3
正確,せいかく,"accurate, punctuality, exact",JLPT JLPT_2 JLPT_3,3
世紀,せいき,century,JLPT JLPT_2 JLPT_3,3
請求,せいきゅう,"claim, demand, request",JLPT JLPT_2 JLPT_3,3
税金,ぜいきん,"tax, duty",Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,3
清潔,せいけつ,clean,JLPT JLPT_2 JLPT_3,3
制限,せいげん,"restriction, restraint, limitation",JLPT JLPT_2 JLPT_3,3
成功,せいこう,"success, hit",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,3
正式,せいしき,"official, formal",JLPT JLPT_2 JLPT_3,3
性質,せいしつ,"nature, property, disposition",JLPT JLPT_2 JLPT_3,3
精神,せいしん,"mind, soul, spirit",JLPT JLPT_2 JLPT_3,3
成人,せいじん,adult,JLPT JLPT_2 JLPT_3,3
精々,せいぜい,"at the most, at best",JLPT JLPT_2 JLPT_3,3
成績,せいせき,"grade (i.e., on a test), academic record",JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,3
製造,せいぞう,"manufacture, production",JLPT JLPT_2 JLPT_3,3
贅沢,ぜいたく,"luxury, extravagance",JLPT JLPT_2 JLPT_3,3
成長,せいちょう,growth,JLPT JLPT_2 JLPT_3,3
生長,せいちょう,growth,JLPT JLPT_2 JLPT_3,3
制度,せいど,"system, institution",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,3
青年,せいねん,"youth, young man",JLPT JLPT_2 JLPT_3,3
生年月日,せいねんがっぴ,birth date,JLPT JLPT_2 JLPT_3,3
製品,せいひん,"manufactured goods, finished goods",JLPT JLPT_2 JLPT_3,3
政府,せいふ,"government, administration",JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21,3
生物,せいぶつ,"living thing, organism",JLPT JLPT_2 JLPT_3,3
生命,せいめい,life,JLPT JLPT_2 JLPT_3,3
整理,せいり,"sorting, arrangement",JLPT JLPT_2 JLPT_3,3
咳,せき,cough,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,3
石炭,せきたん,coal,JLPT JLPT_2 JLPT_3,3
責任,せきにん,"duty, responsibility",JLPT JLPT_2 JLPT_3,3
石油,せきゆ,"oil, petroleum, kerosene",JLPT JLPT_2 JLPT_3,3
世間,せけん,"world, society",JLPT JLPT_2 JLPT_3,3
説,せつ,theory,JLPT JLPT_2 JLPT_3,3
積極的,せっきょくてき,"positive, active, proactive",JLPT JLPT_2 JLPT_3,3
設計,せっけい,"plan, design",JLPT JLPT_2 JLPT_3,3
絶対,ぜったい,"definitely, without fail, absoluteness",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
セット,セット,set,JLPT JLPT_2 JLPT_3,3
愛,あい,love,JLPT JLPT_2 JLPT_3,3
相変わらず,あいかわらず,"as ever, as usual",JLPT JLPT_2 JLPT_3,3
愛情,あいじょう,"love, affection",JLPT JLPT_2 JLPT_3,3
合図,あいず,"sign, signal",JLPT JLPT_2 JLPT_3,3
アイスクリーム,アイスクリーム,ice cream,JLPT JLPT_2 JLPT_3,3
愛する,あいする,to love,JLPT JLPT_2 JLPT_3,3
相手,あいて,partner; addressee; the person you are talking to,Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_2 JLPT_3,3
あいにく,あいにく,unfortunately,JLPT JLPT_2 JLPT_3,3
遭う,あう,"to meet, to encounter (undesirable nuance)",JLPT JLPT_2 JLPT_3,3
アウト,アウト,out,JLPT JLPT_2 JLPT_3,3
明かり,あかり,"lamplight, light (in general)",JLPT JLPT_2 JLPT_3,3
空き,あき,"vacancy, opening, space",JLPT JLPT_2 JLPT_3,3
明らか,あきらか,"obvious, clear",JLPT JLPT_2 JLPT_3,3
諦める,あきらめる,"to give up, to abandon",Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2 JLPT_3,3
飽きる,あきる,"to get tired of, to lose interest in",JLPT JLPT_2 JLPT_3,3
握手,あくしゅ,handshake,JLPT JLPT_2 JLPT_3,3
悪魔,あくま,"devil, demon, evil spirit",JLPT JLPT_2 JLPT_3,3
明ける,あける,"to dawn, to become daylight",JLPT JLPT_2 JLPT_3,3
揚げる,あげる,"to lift, to fry",JLPT JLPT_2 JLPT_3,3
挙げる,あげる,"to raise; to list, to cite",JLPT JLPT_2 JLPT_3,3
預かる,あずかる,to keep (something) for (someone),Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_2 JLPT_3,3
預ける,あずける,"to give into custody, to deposit",JLPT JLPT_2 JLPT_3,3
汗,あせ,"sweat, perspiration",JLPT JLPT_2 JLPT_3,3
与える,あたえる,to give,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_2 JLPT_3,3
温かい,あたたかい,warm,JLPT JLPT_2 JLPT_3,3
暖まる,あたたまる,to warm up,JLPT JLPT_2 JLPT_3,3
温まる,あたたまる,"to warm oneself, to get warm",JLPT JLPT_2 JLPT_3,3
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",JLPT JLPT_2 JLPT_3,3
温める,あたためる,"to warm, to heat",JLPT JLPT_2 JLPT_3,3
辺り,あたり,"vicinity, nearby",Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_2 JLPT_3,3
当たり前,あたりまえ,"usual, common, obvious",JLPT JLPT_2 JLPT_3,3
当たる,あたる,"to be hit, to be successful",JLPT JLPT_2 JLPT_3,3
あちこち,あちこち,here and there,JLPT JLPT_2 JLPT_3,3
扱う,あつかう,"to treat, to handle, to deal with",Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2 JLPT_3,3
集まり,あつまり,"gathering, meeting, collection",JLPT JLPT_2 JLPT_3,3
当てる,あてる,to hit; to apply to,JLPT JLPT_2 JLPT_3,3
跡,あと,trace; remains; scar,JLPT JLPT_2 JLPT_3,3
穴,あな,hole,JLPT JLPT_2 JLPT_3,3
油,あぶら,oil,JLPT JLPT_2 JLPT_3,3
脂,あぶら,fat,JLPT JLPT_2 JLPT_3,3
誤り,あやまり,error,JLPT JLPT_2 JLPT_3,3
粗,あら,"defect, flaw, fault",JLPT JLPT_2 JLPT_3,3
嵐,あらし,storm,JLPT JLPT_2 JLPT_3,3
争う,あらそう,"to dispute, to argue, to fight",JLPT JLPT_2 JLPT_3,3
新た,あらた,"new, fresh",JLPT JLPT_2 JLPT_3,3
あらゆる,あらゆる,"all, every",JLPT JLPT_2 JLPT_3,3
表す,あらわす,"to express, to show",JLPT JLPT_2 JLPT_3,3
現す,あらわす,"to show, to appear, to reveal",JLPT JLPT_2 JLPT_3,3
